order_book_id,trading_hours,market_tplus,symbol,exchange,abbrev_symbol,round_lot,type,de_listed_date,listed_date,status,index,base_date,base_point,underlying_symbol
931760.INDX,"09:31-11:30,13:01-15:00",0.0,中证证券公司债0-3年高等级指数,,ZQGSZ0-3GDJ,1.0,INDX,0000-00-00,2021-09-03,Active,1989.0,2016-12-30,100.0,
931761.INDX,"09:31-11:30,13:01-15:00",0.0,中证新生代消费主题指数,,XSXF,1.0,INDX,0000-00-00,2017-07-21,Active,1060.0,2018-12-28,1000.0,
931762.INDX,"09:31-11:30,13:01-15:00",0.0,中证龙头优势50指数,,LTYS50,1.0,INDX,0000-00-00,2022-01-11,Active,2048.0,2016-12-30,1000.0,
931763.INDX,"09:31-11:30,13:01-15:00",0.0,中证沪港深龙头优势50指数,,SHSLTYS50,1.0,INDX,0000-00-00,2022-01-11,Active,2049.0,2016-12-30,1000.0,
931765.INDX,"09:31-11:30,13:01-15:00",0.0,中证沪港深新生代消费主题指数,,SHSXSDXF,1.0,INDX,0000-00-00,2021-10-29,Active,2007.0,2018-12-31,1000.0,
931766.INDX,"09:31-11:30,13:01-15:00",0.0,中证交易所政策性金融债指数,,JYSZJZ,1.0,INDX,0000-00-00,2021-10-15,Active,2000.0,2014-12-31,100.0,
931767.INDX,"09:31-11:30,13:01-15:00",0.0,中证交易所政策性金融债0-3年指数,,JYSZJZ0-3,1.0,INDX,0000-00-00,2021-10-15,Active,2001.0,2014-12-31,100.0,
931768.INDX,"09:31-11:30,13:01-15:00",0.0,中证交易所政策性金融债0-5年指数,,JYSZJZ0-5,1.0,INDX,0000-00-00,2021-10-15,Active,2002.0,2014-12-31,100.0,
931769.INDX,"09:31-11:30,13:01-15:00",0.0,中证新经济债券指数,,XJJZ,1.0,INDX,0000-00-00,2021-10-29,Active,2005.0,2016-12-30,100.0,
931770.INDX,"09:31-11:30,13:01-15:00",0.0,中证0-5年新经济债券指数,,0-5NXJJZ,1.0,INDX,0000-00-00,2021-10-29,Active,2006.0,2016-12-30,100.0,
931771.INDX,"09:31-11:30,13:01-15:00",0.0,中证华夏银行新经济财富指数,,HXYHXJJ,1.0,INDX,0000-00-00,2021-10-15,Active,2003.0,2017-12-29,1000.0,
931772.INDX,"09:31-11:30,13:01-15:00",0.0,中证碳中和60指数,,TZH60,1.0,INDX,0000-00-00,2021-11-09,Active,2012.0,2017-06-30,1000.0,
931773.INDX,"09:31-11:30,13:01-15:00",0.0,中证北银理财央企能源产业指数,,BYLCYQNY,1.0,INDX,0000-00-00,2025-03-26,Active,2655.0,2018-12-28,1000.0,
931774.INDX,"09:31-11:30,13:01-15:00",0.0,中证沪港深增强现实与虚拟现实主题指数,,HGSAR/VR,1.0,INDX,0000-00-00,2012-12-21,Active,187.0,2014-12-31,1000.0,
931775.INDX,"09:31-11:30,13:01-15:00",0.0,中证全指房地产指数,,FDC,1.0,INDX,0000-00-00,2013-07-15,Active,280.0,2004-12-31,1000.0,
931776.INDX,"09:31-11:30,13:01-15:00",0.0,中证生物育种主题指数,,SWYZ,1.0,INDX,0000-00-00,2021-11-09,Active,2011.0,2014-12-31,1000.0,
