trade_date,order_book_id,open,close,high,low,total_turnover,volume,prev_close
2026-03-27,399685.XSHE,1486.4619,1551.1761,1552.5713,1485.6288,20775770623.0,791463069.0,1499.3807
2026-03-27,399686.XSHE,1947.4915,1968.4317,1979.2427,1947.1836,15080551495.0,1606824754.0,1959.9178
2026-03-27,399687.XSHE,3695.0243,3789.3948,3817.8243,3688.112,145967334457.0,4252333951.0,3769.1807
2026-03-27,399688.XSHE,6891.5427,6943.0138,7064.9143,6800.0152,54943160940.0,445040595.0,7067.8314
2026-03-27,399689.XSHE,1058.6631,1073.8151,1078.9006,1042.6357,16529762214.0,1974033227.0,1074.3273
2026-03-27,399692.XSHE,3709.5313,3828.4851,3836.214,3708.0671,57647506873.0,1986413158.0,3747.3341
2026-03-27,399693.XSHE,4609.8931,4709.745,4732.8801,4602.9793,19995887339.0,1120119949.0,4676.8659
2026-03-27,399694.XSHE,4321.2479,4432.3317,4475.8787,4310.3324,147676090107.0,2826949300.0,4405.8444
2026-03-27,399695.XSHE,3218.0036,3299.9669,3326.7986,3217.2047,165594453375.0,5959810703.0,3264.9488
2026-03-27,399696.XSHE,4454.3817,4579.1931,4615.6377,4445.0994,134716778744.0,4993081942.0,4557.5745
2026-03-27,399697.XSHE,3575.0055,3681.6141,3704.4109,3573.0012,41213974649.0,2043731011.0,3617.5086
2026-03-27,399698.XSHE,52247.1494,53261.6785,53390.4435,52194.1979,8703530418.0,714218502.0,52949.991
2026-03-27,399699.XSHE,3768.503,3844.6717,3869.9582,3766.5185,34424823257.0,1703867069.0,3813.4458
2026-03-27,399701.XSHE,7587.709,7754.3726,7774.9958,7584.3644,78614269472.0,3910817252.0,7677.1932
2026-03-27,399702.XSHE,7365.4259,7539.0918,7567.1459,7362.675,153715939095.0,6790271516.0,7453.7368
2026-03-27,399703.XSHE,7436.3097,7618.7699,7645.9834,7433.5458,231800198519.0,10317686291.0,7528.5573
2026-03-27,399704.XSHE,7118.7734,7478.0613,7526.8463,7118.7734,67030998131.0,2589865856.0,7211.4314
2026-03-27,399705.XSHE,4405.3902,4495.7904,4536.2353,4398.1768,248565811973.0,5414787290.0,4479.5696
2026-03-27,399706.XSHE,5352.0529,5482.9846,5494.5313,5349.5907,81058884361.0,3592741269.0,5397.8553
2026-03-27,399707.XSHE,5547.9924,5623.342,5646.3085,5547.7833,17919251746.0,1684203692.0,5586.1387
2026-03-27,399750.XSHE,8546.2919,8759.8012,8785.7004,8545.0322,70792184991.0,3547454571.0,8664.2806
2026-03-27,399802.XSHE,7111.2404,7313.8253,7363.0536,7111.2404,192657420450.0,8661832403.0,7211.9127
2026-03-27,399803.XSHE,5039.7675,5161.8761,5193.1114,5036.4812,61479453965.0,1869430647.0,5135.8216
2026-03-27,399804.XSHE,1914.4392,1958.4977,1960.5985,1913.3391,13991220774.0,716602140.0,1935.6685
2026-03-27,399805.XSHE,3254.9581,3330.9359,3350.1442,3252.7875,30355865451.0,1734636811.0,3294.9427
2026-03-27,399806.XSHE,1430.4243,1464.4566,1467.42,1428.5503,16126438050.0,1692472437.0,1448.5444
2026-03-27,399807.XSHE,1209.9435,1221.0424,1222.6967,1208.3426,10343702488.0,1696153555.0,1218.0183
2026-03-27,399808.XSHE,3031.7343,3116.8252,3143.4664,3028.9871,170180680502.0,6924411268.0,3068.0525
2026-03-27,399809.XSHE,2323.3912,2323.4518,2340.2083,2314.1393,22508052446.0,1884011019.0,2330.243
2026-03-27,399810.XSHE,2881.9026,2948.8138,2958.6622,2881.2864,25254120767.0,1942476128.0,2913.8908
2026-03-27,399811.XSHE,5327.0921,5462.5371,5509.8002,5313.0123,98630398597.0,1480187785.0,5445.8547
2026-03-27,399812.XSHE,5819.1698,5968.1768,5976.4385,5818.2584,35225771517.0,1192123117.0,5857.9683
2026-03-27,399813.XSHE,7498.8064,7679.3948,7716.4031,7495.3859,82336051240.0,3259616062.0,7615.2524
2026-03-27,399814.XSHE,1180.6041,1224.6073,1229.3845,1180.3884,30454389099.0,1716010124.0,1188.215
2026-03-27,399850.XSHE,8775.7978,8937.8268,8989.4001,8768.879,122985823278.0,2472021792.0,8878.2667
2026-03-27,399852.XSHE,7526.5864,7746.3131,7784.5469,7526.5864,403803691770.0,25889527400.0,7639.3762
2026-03-27,399901.XSHE,6247.6244,6311.062,6321.6088,6245.6366,110234902015.0,9470347800.0,6303.3634
2026-03-27,399903.XSHE,4315.207,4396.2981,4412.3481,4314.6212,253712112872.0,8262421600.0,4361.0554
2026-03-27,399905.XSHE,7539.1959,7737.6144,7785.3777,7539.1959,344204684320.0,18820506600.0,7642.1302
2026-03-27,399913.XSHE,7572.8206,7896.5836,7911.1908,7568.4336,20873946789.0,474920900.0,7633.2467
2026-03-27,399914.XSHE,6036.6805,6051.9471,6079.3654,6034.5332,43898510991.0,3939242200.0,6055.7625
2026-03-27,399928.XSHE,3516.2132,3539.454,3558.2698,3502.7356,16618474115.0,1524654800.0,3535.8972
2026-03-27,399932.XSHE,14164.5493,14476.7419,14498.2431,14157.6598,20342446485.0,778737200.0,14222.8438
2026-03-27,399933.XSHE,7608.9384,7926.4191,7939.4695,7606.4386,40551872218.0,1123672700.0,7665.8304
2026-03-27,399934.XSHE,5649.1567,5668.3589,5691.4716,5647.6974,51630334118.0,5190330700.0,5669.2399
2026-03-27,399935.XSHE,5951.9763,6091.9671,6138.3191,5942.0086,162847680858.0,3446255000.0,6071.2688
2026-03-27,399959.XSHE,1712.8171,1743.5815,1753.3198,1712.2803,16654965714.0,525433958.0,1737.6435
2026-03-27,399965.XSHE,2338.1106,2362.2771,2373.7325,2333.084,2100006615.0,414953480.0,2353.9555
2026-03-27,399966.XSHE,5595.7942,5651.5749,5677.9372,5595.6726,25995236426.0,1844812298.0,5626.4169
2026-03-27,399967.XSHE,12953.4291,13243.2433,13316.7699,12953.3442,45504455599.0,1600801160.0,13168.274
2026-03-27,399970.XSHE,4135.2204,4216.8491,4246.3562,4131.1554,126470884240.0,4597381779.0,4207.4982
2026-03-27,399971.XSHE,1423.4754,1459.1304,1465.2253,1422.8734,24264653178.0,2012597060.0,1439.7716
2026-03-27,399972.XSHE,5544.9442,5661.5798,5695.3555,5541.739,218250578683.0,5549249217.0,5616.0819
2026-03-27,399973.XSHE,1776.8702,1815.6361,1824.3833,1776.2544,28129385204.0,849641430.0,1804.0097
2026-03-27,399974.XSHE,1847.6298,1875.4921,1883.06,1847.269,116650293806.0,5629269372.0,1870.1863
2026-03-27,399975.XSHE,722.4677,732.2344,735.2292,722.4404,17343636925.0,1600990440.0,727.4179
2026-03-27,399976.XSHE,4389.2522,4560.4175,4584.4468,4388.1852,111474423225.0,2349875549.0,4424.4956
2026-03-27,399982.XSHE,9142.1593,9359.0125,9404.5634,9142.1593,344204684320.0,18820506600.0,9256.6866
2026-03-27,399983.XSHE,1762.5826,1784.9601,1791.2895,1756.8917,1350974173.0,261943025.0,1776.4454
2026-03-27,399986.XSHE,7255.838,7238.1259,7292.8329,7219.8263,20607886821.0,2887155080.0,7274.3849
2026-03-27,399987.XSHE,4495.8326,4581.5731,4606.7579,4494.7572,9957192068.0,179255586.0,4522.8044
2026-03-27,399989.XSHE,6284.8375,6519.2615,6530.7123,6281.8186,21221856253.0,559796783.0,6336.7825
2026-03-27,399990.XSHE,3621.0628,3643.6162,3695.6654,3612.1519,16923493070.0,2239473017.0,3678.0558
2026-03-27,399991.XSHE,3182.0309,3238.191,3262.3605,3181.0678,143425955178.0,8290641009.0,3236.0616
2026-03-27,399992.XSHE,2079.8897,2138.8154,2150.4478,2079.5846,33220448389.0,2436904979.0,2105.2352
2026-03-27,399993.XSHE,2379.4182,2497.0635,2502.6398,2378.9633,25702976822.0,953252121.0,2400.1195
